Az,Gx,Gy,Gz,Temp,FlowX,FlowY,LiDAR,Flux,LiDAR Temp,Ax,Ay
1010.19,1.71,0.98,2.08,8211.0,0.0,0.0,11.0,5598.0,35.0,-30.4,-25.27
1012.39,0.98,1.71,-0.24,8211.0,0.0,0.0,11.0,5601.0,35.0,-30.94,-22.71
1011.66,2.08,0.61,5.62,8211.0,0.0,0.0,11.0,5601.0,35.0,-28.02,-21.79
1011.29,3.05,1.1,4.03,8211.0,0.0,0.0,11.0,5598.0,35.0,-29.66,-22.52
1011.47,-4.88,0.73,-1.59,8211.0,0.0,0.0,10.0,5603.0,35.0,-28.93,-21.79
1012.76,3.78,-0.73,6.47,8211.0,0.0,0.0,11.0,5598.0,35.0,-29.66,-25.09
1012.76,-7.81,5.37,-5.98,8211.0,0.0,0.0,11.0,5600.0,35.0,-30.4,-26.37
1012.76,0.49,-0.85,5.13,8211.0,0.0,0.0,11.0,5605.0,35.0,-50.72,4.39
1013.31,-1.59,-2.2,-5.98,8211.0,0.0,0.0,11.0,5604.0,35.0,-27.65,43.76
1011.11,-1.95,0.37,-9.64,8211.0,0.0,0.0,10.0,5589.0,35.0,-31.31,-15.2
1020.26,-0.37,-0.61,9.89,8211.0,0.0,0.0,11.0,5607.0,35.0,23.25,-77.09
1010.01,1.59,4.88,6.35,8211.0,0.0,0.0,11.0,5595.0,35.0,-34.06,-41.38
1010.01,-1.95,1.71,1.46,8212.0,0.0,0.0,11.0,5600.0,35.0,-28.56,-17.03
1003.6,4.15,1.59,-4.39,8212.0,0.0,0.0,11.0,5605.0,35.0,-25.27,-13.55
1009.83,1.46,-7.81,0.37,8212.0,0.0,0.0,10.0,5605.0,35.0,-35.52,-11.17
1016.42,1.22,-0.73,1.71,8212.0,0.0,0.0,11.0,5599.0,35.0,-19.96,-26.73
1010.01,4.03,1.71,-0.98,8212.0,0.0,0.0,11.0,5607.0,35.0,-28.02,-24.17
1009.83,-4.15,5.49,-7.08,8211.0,0.0,0.0,11.0,5600.0,35.0,-27.1,-21.61
1012.94,5.74,0.37,8.06,8211.0,0.0,0.0,11.0,5604.0,35.0,-33.69,-22.34
1010.38,3.3,-1.1,-6.23,8211.0,0.0,0.0,11.0,5599.0,35.0,-33.69,-23.99
1010.19,-0.37,3.42,-7.32,8211.0,0.0,0.0,11.0,5602.0,35.0,-9.52,-25.09
1012.57,0.37,-2.69,3.66,8211.0,0.0,0.0,11.0,5598.0,35.0,-29.66,-18.86
1012.39,5.86,5.13,4.39,8211.0,0.0,0.0,11.0,5604.0,35.0,-40.47,-34.24
1012.02,1.34,3.78,-1.1,8211.0,0.0,0.0,11.0,5607.0,35.0,-24.54,-23.62
1011.29,-3.91,0.0,1.22,8211.0,0.0,0.0,11.0,5601.0,35.0,-38.64,8.97
1011.84,2.81,3.42,1.22,8211.0,0.0,0.0,11.0,5602.0,35.0,-39.37,-5.13
1011.47,5.74,5.0,2.32,8211.0,0.0,0.0,11.0,5580.0,35.0,-28.2,-12.27
1011.84,-4.03,-3.66,-8.06,8211.0,0.0,0.0,11.0,5567.0,35.0,23.8,-3.66
1010.93,8.06,9.03,1.46,8211.0,-1.0,1.0,11.0,5386.0,35.0,-62.81,-30.58
1057.07,-6.59,-8.06,-9.77,8211.0,2.0,3.0,12.0,5343.0,35.0,-99.43,-73.61
1008.0,-3.78,-10.5,-5.0,8211.0,-1.0,1.0,16.0,4992.0,35.0,6.04,-43.4
960.02,8.67,-25.51,1.1,8211.0,-3.0,13.0,19.0,3376.0,35.0,216.61,7.51
951.23,9.52,-33.81,-7.32,8211.0,12.0,-17.0,18.0,11938.0,35.0,315.67,7.87
956.91,-6.84,-11.47,0.37,8211.0,-2.0,7.0,19.0,11217.0,35.0,347.9,-14.83
935.3,-1.95,-20.02,3.3,8211.0,-7.0,10.0,20.0,10440.0,35.0,498.23,-52.73
877.08,1.83,-21.97,-2.08,8211.0,-3.0,7.0,23.0,9178.0,35.0,575.87,-30.94
883.3,1.95,-0.24,0.0,8211.0,10.0,-14.0,23.0,9234.0,35.0,500.24,-29.11
925.96,4.88,31.01,-1.95,8211.0,-3.0,-6.0,20.0,10312.0,35.0,253.42,8.61
924.32,6.71,48.71,4.64,8211.0,-1.0,-23.0,19.0,11824.0,35.0,12.63,19.96
1012.21,-2.93,45.53,-0.49,8211.0,0.0,-31.0,18.0,4814.0,35.0,-159.85,-10.62
940.98,7.81,38.33,6.59,8211.0,-4.0,-26.0,17.0,13433.0,35.0,-337.83,22.16
951.6,2.08,28.69,3.78,8211.0,8.0,-21.0,18.0,10995.0,35.0,-481.57,29.48
932.74,-4.03,14.89,-4.76,8211.0,6.0,-15.0,18.0,10299.0,35.0,-539.61,25.63
892.64,0.85,7.32,7.2,8211.0,5.0,-16.0,20.0,9823.0,35.0,-508.12,31.68
913.15,-2.93,-26.12,-6.96,8211.0,0.0,3.0,19.0,10283.0,35.0,-207.46,-43.21
906.56,-9.89,-35.4,-0.61,8211.0,-1.0,5.0,17.0,12091.0,36.0,-63.72,-165.71
1020.81,25.63,-7.45,-0.37,8211.0,-3.0,-5.0,15.0,14785.0,35.0,-151.98,182.01
980.71,31.74,0.37,6.35,8211.0,-10.0,-1.0,15.0,12542.0,35.0,-165.34,310.0
907.47,32.71,-4.27,-3.54,8211.0,12.0,-3.0,16.0,11399.0,35.0,-155.09,457.4
861.69,38.7,-15.99,-1.22,8211.0,-6.0,4.0,16.0,10485.0,35.0,-36.07,677.49
828.92,10.01,-0.73,6.96,8211.0,-15.0,-1.0,16.0,9732.0,36.0,-91.92,601.68
829.28,-56.15,7.08,14.77,8211.0,-29.0,-6.0,16.0,11150.0,35.0,-104.37,195.74
903.44,-72.14,3.42,1.83,8211.0,-66.0,-2.0,16.0,14511.0,36.0,-85.14,-124.33
973.39,-68.85,-9.28,-4.76,8211.0,-45.0,4.0,19.0,12739.0,36.0,-15.2,-439.82
933.84,-46.14,0.73,-1.71,8211.0,-12.0,5.0,24.0,9281.0,36.0,-22.52,-544.56
935.49,-3.78,2.08,2.2,8211.0,11.0,13.0,26.0,8721.0,35.0,-52.55,-539.06
939.7,30.88,0.49,-6.1,8211.0,16.0,3.0,23.0,9547.0,36.0,-24.9,-294.25
941.53,55.91,-5.25,-0.24,8211.0,-26.0,-3.0,19.0,13968.0,36.0,20.14,68.12
938.05,49.32,-7.81,6.84,8211.0,-1.0,4.0,16.0,3553.0,36.0,35.34,288.94
948.3,25.88,9.16,10.5,8211.0,-22.0,-3.0,13.0,14096.0,36.0,-100.89,323.0
1000.31,-14.77,27.1,15.38,8211.0,-13.0,-8.0,12.0,14482.0,36.0,-323.18,119.75
925.6,-49.93,16.48,-14.89,8211.0,0.0,6.0,16.0,12979.0,36.0,-362.73,-233.46
953.06,-41.63,-24.66,-5.49,8211.0,42.0,2.0,20.0,10848.0,36.0,-9.52,-456.85
953.8,-6.47,-38.57,-0.37,8211.0,-13.0,9.0,22.0,10204.0,35.0,305.6,-371.7
905.09,34.55,-22.58,-15.5,8211.0,57.0,-10.0,21.0,10894.0,36.0,308.53,-51.64
992.43,46.75,6.84,14.65,8211.0,-21.0,-5.0,17.0,14099.0,36.0,136.23,226.5
974.3,23.93,28.93,8.18,8211.0,-41.0,10.0,15.0,14676.0,36.0,-41.93,408.14
934.02,-1.71,28.56,10.86,8211.0,-24.0,3.0,15.0,13215.0,36.0,-273.38,171.39
905.64,-34.18,19.78,-18.19,8211.0,-2.0,4.0,15.0,13124.0,36.0,-516.54,-120.48
987.12,-22.83,-0.61,-14.65,8211.0,17.0,6.0,16.0,12497.0,36.0,-264.04,-150.51
940.98,3.78,-21.97,-11.47,8211.0,36.0,-4.0,19.0,13858.0,36.0,160.58,-110.96
946.11,5.74,-45.53,-7.32,8211.0,44.0,-18.0,19.0,16433.0,36.0,543.46,-43.58
944.82,0.37,-25.15,-4.15,8211.0,6.0,-30.0,17.0,12404.0,36.0,446.96,-53.28
1064.21,8.06,28.81,-10.01,8211.0,-4.0,20.0,15.0,15474.0,36.0,-205.26,-72.33
889.89,0.0,43.95,8.3,8211.0,-31.0,59.0,14.0,4920.0,36.0,-596.74,67.02
1024.29,-6.35,-0.37,-6.71,8211.0,-9.0,8.0,15.0,3269.0,36.0,-264.95,-28.02
970.46,-0.98,-24.78,-7.81,8211.0,9.0,-10.0,19.0,4510.0,36.0,420.96,-1.1
901.79,4.76,-24.05,4.03,8211.0,28.0,-49.0,20.0,3184.0,35.0,525.51,-50.17
1070.25,-2.69,15.87,0.24,8211.0,5.0,-37.0,17.0,3743.0,36.0,-341.13,-47.42
925.6,-5.0,22.58,3.54,8211.0,-47.0,76.0,16.0,5013.0,36.0,-48.34,-196.11
980.16,3.17,-1.1,11.96,8211.0,15.0,17.0,17.0,4970.0,36.0,-155.27,363.1
1011.84,6.1,3.66,6.47,8211.0,-74.0,-6.0,17.0,3887.0,36.0,-57.86,23.8
1001.95,3.66,7.2,-15.14,8211.0,11.0,-1.0,19.0,3424.0,36.0,-542.72,-179.08
1081.79,5.0,-9.89,-16.97,8211.0,112.0,12.0,19.0,3442.0,36.0,-86.98,-106.75
945.92,-0.61,-15.26,19.53,8211.0,-48.0,-30.0,23.0,4341.0,35.0,115.17,170.1
804.93,6.71,16.11,11.72,8211.0,37.0,-107.0,21.0,3352.0,36.0,-194.82,105.47
1110.35,-6.84,1.71,10.99,8211.0,-74.0,71.0,17.0,3496.0,36.0,,
