roll,pitch,yaw
-0.0161325,0.041683,-1.95932
-0.013806,0.0402636,-1.78315
-0.0115711,0.038726,-1.60734
-0.0098545,0.0366743,-1.43155
-0.00798981,0.0349784,-1.25533
-0.00643921,0.0326037,-1.07914
-0.00500197,0.0297435,-0.903107
-0.00402762,0.0265615,-0.727095
-0.00376708,0.0234033,-0.5511
-0.00463852,0.0201935,-0.374968
-0.00582528,0.0172078,-0.198839
-0.0077123,0.0145252,-0.0225271
-0.0100886,0.0118714,0.153784
-0.0129116,0.00987019,0.330258
-0.0161132,0.00806117,0.506734
-0.0193797,0.00717578,0.683213
-0.0228675,0.00649708,0.859695
-0.0264571,0.00701682,1.03554
-0.0301326,0.00816688,1.21138
-0.0335193,0.00956875,1.38725
-0.0366608,0.0118921,1.56312
-0.0390449,0.0146276,1.73898
-0.0408752,0.0177398,1.91483
-0.0422178,0.0212037,2.09102
-0.0431383,0.0247721,2.26721
-0.0436015,0.0283025,2.44338
-0.0436107,0.031944,2.61957
-0.0420913,0.0356323,2.79541
-0.0402186,0.0388588,2.97127
-0.0377255,0.0428029,-3.13564
-0.034374,0.046251,-2.95933
-0.0307433,0.0481606,-2.78317
-0.0270479,0.049359,-2.60701
-0.0235132,0.0503596,-2.43069
-0.0197847,0.0504124,-2.25435
-0.0152332,0.0501679,-2.07788
-0.0107827,0.0489583,-1.90142
-0.00675737,0.0474781,-1.72518
-0.00289039,0.0451538,-1.54895
0.000235746,0.0423382,-1.37277
0.00269612,0.0388402,-1.19662
0.00511418,0.0347201,-1.02027
0.00663186,0.0300778,-0.843958
0.00682269,0.0253051,-0.667847
0.00633476,0.0206968,-0.491752
0.00502438,0.0155565,-0.31586
0.00260933,0.0107214,-0.139976
-0.000657931,0.0064201,0.0363578
-0.0042872,0.00279864,0.212703
-0.00917156,-0.000362943,0.388839
-0.0149035,-0.0023033,0.564764
-0.0208456,-0.00342419,0.740699
-0.0266567,-0.00338685,0.916514
-0.0321648,-0.00259129,1.09233
-0.037304,-0.000697151,1.26819
-0.0423269,0.00204336,1.44404
-0.046849,0.0057151,1.61987
-0.050355,0.0100066,1.7957
-0.0532731,0.0151792,1.97151
-0.0551727,0.0208091,2.14733
-0.0561024,0.0270988,2.32338
-0.0557404,0.0331073,2.49947
-0.0544509,0.038996,2.6759
-0.052121,0.0445772,2.85238
-0.0485304,0.0497004,3.02866
-0.043994,0.0537511,-3.07818
-0.0394284,0.0576292,-2.90169
-0.0339994,0.0609213,-2.72513
-0.0278516,0.0630196,-2.54896
-0.0211201,0.0640818,-2.37274
-0.0145526,0.0633708,-2.19632
-0.00846399,0.0618281,-2.01994
-0.00271373,0.059277,-1.84326
0.0023217,0.0557808,-1.66664
0.00699645,0.0507639,-1.48995
0.0108852,0.0453529,-1.31332
